number,name,price,worker
1,Gemischter Salat,330,1
2,Kaiser Salat,580,1
3,Hühnerfleisch Salat,380,1
4,Sojabohnensprossen Salat,330,1
6,Krupuk,120,1
7,Frühlingsrolle,250,1
8,Minifrühlingsrollen,220,1
9,Gebackene Wan-Tan,300,1
12,Wan-Tan Suppe,300,12
13,Pikante Gemüsesuppe,250,1
14,Glasnudelsuppe,300,2
17,Tom-Yam-Gai,300,2
18,Tom-Kha-Gai,300,2
19,Tom-Kha-Gung,420,2
30,Ente Pikante Soße,900,1
31,Ente Süßsauer Soße,900,1
32,Ente Erdnusssoße,900,12
33p,Gebackene Ente Bratnudeln Pikante Soße,950,1
33s,Gebackene Ente Bratnudeln Süßsauer Soße,950,1
33e,Gebackene Ente Bratnudeln Erdnusssoße,950,12
33c,Gebackene Ente Bratnudeln Currysoße,950,12
33r,Gebackene Ente Bratnudeln Rotes Curry,950,12
33g,Gebackene Ente Bratnudeln Grünes Curry,950,12
34,Gebackene Ente Currysoße,900,12
35,GebackeneEnte Grünes Curry,900,12
36,Gebackene Ente Rotes Curry,900,12
40,Hühnerfleisch mit Paprika Bambus Zwiebeln pikant,800,2
41,Hühnerfleisch mit Morcheln Champignons Bambus Zwiebeln,800,2
42,Hühnerfleisch a la Hoa Ly,800,2
43,Hühnerfleisch mit chin. Pilzen Bambus und Zwiebeln,800,2
44,Curry-Huhn mit Gemüse,800,2
45,Hühnerfleisch mit grünem Curry Gemüse Kokosmilch scharf,800,2
46,Hühnerfleisch mit rotem Curry Gemüse Kokosmilch scharf,800,2
47,Hühnerfleisch Chop Suey,800,2
48,Hühnerfleisch Ga Xao Xa Ot,800,2
49,Hühnerfleisch mit Brokkoli und Gemüse in heller Soße,800,2
50,Gebackenes Hühnerfleisch Pikante Soße,800,1
51,Gebackenes Hühnerfleisch Süßsauer Soße,800,1
52,Gebackenes Hühnerfleisch Erdnusssoße,850,12
53p,Gebackenes Hühnerfleisch Pikante Soße,850,1
53s,Gebackenes Hühnerfleisch Süßsauer Soße,850,1
53e,Gebackenes Hühnerfleisch Erdnusssoße,850,12
53c,Gebackenes Hühnerfleisch Currysoße,850,12
53r,Gebackenes Hühnerfleisch Rotes Curry,850,12
53g,Gebackenes Hühnerfleisch Grünes Curry,850,12
54,Gebackenes Hühnerfleisch Currysoße,800,12
55,Gebackenes Hühnerfleisch Grünes Curry,800,12
56,Gebackenes Hühnerfleisch Rotes Curry,800,12
60,Rindfleisch mit Paprika Bambus und Zwiebeln pikant,870,2
61,Rindfleisch mit Morcheln Champignons Bambus und Zwiebeln,870,2
62,Rindfleisch a la Hoa Ly,870,2
63,Rindfleisch mit chin. Pilzen Bambus und Zwiebeln,870,2
64,Rindfleisch Curry-Rindfleisch mit Gemüse,870,2
65,Rindfleisch mit grünem Curry Gemüse Kokosmilch scharf,870,2
66,Rindfleisch mit rotem Curry Gemüse Kokosmilch scharf,870,2
67,Chop Suey,870,2
68,Rindfleisch Bo Xao Xa Ot,870,2
70,Garnelen mit Gemüse,1400,2
75,Garnelen mit grünem Curry Gemüse Kokosmilch scharf,1400,2
76,Garnelen mit rotem Curry Gemüse Kokosmilch scharf,1400,2
78,Garnelen mit Hühnerfleisch Rindfleisch mit Gemüse pikant,1200,2
80,Gebratener Reis mit Gemüse und Ei,650,2
81,Gebratener Reis mit Hühnerfleisch,800,2
82,Gebratener Reis Nasi Goreng mit Hühnerfleisch und Curry,800,2
83,Gebratener Reis mit Hühnerfleisch Garnelen,1100,2
90,Gebratener Reis mit Gemüse,650,2
91,Gebratene Nudeln mit Hühnerfleisch und Gemüse,800,2
92,Gebratene Nudeln Bami Goreng mit Hühnerfleisch Gemüse und Curry,800,2
93,Gebratene Nudeln mit Hühnerfleisch Garnelen und Gemüse,1100,2
100,Tofu mit Gemüse,800,2
102,Gebratenes Gemüse in Erdnusssoße,750,2
105,Tofu mit grünem Curry Gemüse Kokosmilch scharf,800,2
106,Tofu mit rotem Curry Gemüse Kokosmilch scharf,800,2
107,Gebratenes Gemüse in pikanter Soße,750,2
110,Gebratene Nudeln,250,1
111,Gebratener Reis,250,2
112p,Pikante Soße,200,1
112s,Süßsauer Soße,200,1
112e,Erdnusssoße,200,2
112c,Currysoße,200,2
112r,Rotes Curry Soße,200,2
112g,Grünes Curry Soße,200,2
114,Sambal Olek/Sojasoße,30,2
116,Gebratenes Gemüse,250,2
150,Gebackene Banane mit Honig,300,1
151,Gebackene Ananas mit Honig,300,1
300,Haake Beck Pils Fl. 0.3l,170,1
301,Becks Lemon Gold Fl. 0.3l,170,1
302,Becks alkoholfrei Fl. 0.3l,170,1
320a,Cola Fanta Sprite Mezzo Mix Lift 0.2l,160,1
320b,Cola Fanta Sprite Mezzo Mix Lift 0.5l,200,1
320c,Cola Fanta Sprite Mezzo Mix Lift 1l,300,1
321,Mineralwasser Fl. 0.2l,170,1
322,Vitamalz Fl. 0.3l,170,1
330,Guavadrink Dose 0.2l,170,1
331,Mangodrink Dose 0.2l,170,1
332,Lychee Dose 0.2l,170,1
